Date,Open,High,Low,Close,Volume
2025-05-05,0.0,0.0,0.0,22.02,1
2025-05-13,19.9,19.91,19.9,19.9,501
2025-05-19,19.5,19.5,19.5,19.5,2000
2025-05-29,19.75,19.75,19.75,19.5,41
2025-05-30,21.0,21.0,21.0,19.5,1
2026-05-04,27.1,27.15,23.11,27.14,1502
