Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2025-02-26,0.0,0.0,0.0,100.0,62500000,,,,,,,
2025-04-10,98.86,98.86,98.86,98.86,5000,,,,,,,
2025-04-15,98.61,98.61,98.61,98.61,5000,,,,,,,
2025-04-17,98.5,98.5,98.06,98.48,105000,,,,,,,
2025-04-18,100.0,100.0,100.0,100.0,5000,,,,,,,
2025-04-21,99.35,99.35,99.35,99.35,1005000,,,,,,,
2025-04-22,99.26,99.26,99.26,99.26,5000,,,,,,,
2025-04-23,99.34,99.34,99.34,99.34,5000,,,,,,,
2025-04-24,98.4,98.4,98.4,98.4,5000,,,,,,,
2025-04-25,99.25,99.25,99.25,99.25,5000,,,,,,,
2025-05-30,98.8,98.8,98.8,98.8,5000,,,,,,,
2025-06-13,99.4,99.4,99.4,99.4,5000,,,,,,,
2025-06-25,0.0,0.0,0.0,99.4,61500000,,,,,,,
2025-06-26,0.0,0.0,0.0,99.4,2376100000,,,,,,,45.52238805970153
2025-07-09,99.69,99.69,99.69,99.69,2376100000,,,,,,,47.78254649499282
2025-11-25,0.0,0.0,0.0,99.69,62500000,,,,,,,57.094017094017104
2025-11-26,99.65,99.65,99.65,99.65,2000000,,,,,,,59.21985815602847
2026-01-13,99.28,99.28,99.28,99.28,5000,,,,,,,56.80272108843537
2026-01-14,99.2,99.2,99.2,99.2,5000,,,,,,,40.99099099099099
2026-01-15,99.2,99.2,99.2,99.2,5000,,,99.263,0.44956236028995356,98.3638752794201,100.16212472057991,48.02110817941962
2026-01-16,0.0,0.0,0.0,99.2,62495000,,,99.223,0.4147808552654496,98.3934382894691,100.0525617105309,49.18918918918916
2026-03-27,98.0,98.0,98.0,98.0,184390000,,,99.18,0.4918172531808116,98.19636549363838,100.16363450636163,36.09958506224061
2026-03-31,99.5,99.5,99.5,99.5,1000000,,,99.2245,0.477586861760577,98.26932627647885,100.17967372352116,60.223048327137505
2026-04-02,99.5,99.5,99.5,99.5,500000,,,99.2755,0.44740744411847966,98.38068511176303,100.17031488823696,52.759381898454755
2026-04-06,99.5,99.5,99.5,99.5,505000,,,99.2505,0.41778205096110005,98.4149358980778,100.0860641019222,58.57843137254906
2026-04-07,99.5,99.5,99.5,99.5,500000,,,99.25800000000001,0.42099631202285137,98.41600737595431,100.09999262404571,51.43678160919533
2026-04-09,97.87,99.3,97.87,99.3,85505000,,,99.26,0.421101312975243,98.41779737404951,100.1022026259505,48.641304347825965
2026-04-28,99.8,99.8,99.8,99.8,5000,,,99.28299999999999,0.4379269345450207,98.40714613090995,100.15885386909002,54.78468899521522
