Date,Open,High,Low,Close,Volume
2020-12-07,2.51,3.1,2.31,2.97,18042500
2020-12-08,2.85,2.97,2.7,2.72,6326000
2020-12-09,2.7,2.8,2.51,2.55,3596000
2020-12-10,2.55,2.67,2.44,2.53,3516000
2020-12-11,2.58,2.64,2.47,2.5,1549000
2020-12-14,2.5,2.75,2.5,2.68,3684500
2020-12-15,2.69,3.2,2.62,2.8,7526000
2020-12-16,2.9,2.9,2.68,2.71,826500
2020-12-17,2.7,2.93,2.67,2.78,1137500
2020-12-18,2.72,2.85,2.7,2.72,572500
2020-12-21,2.86,2.86,2.6,2.62,926500
2020-12-22,2.6,2.77,2.46,2.5,1935000
2020-12-23,2.5,3.5,2.45,3.5,13257500
2020-12-24,3.8,4.29,3.8,4.14,21290500
2020-12-28,4.29,4.8,3.36,4.52,23067500
2020-12-29,4.6,4.65,3.85,3.94,6933000
