Date,Open,High,Low,Close,Volume
2019-03-27,1.31,2.9,1.26,2.87,80431500
2019-03-28,2.88,2.88,2.29,2.37,43177000
2019-03-29,2.3,2.79,2.2,2.69,25270500
2019-04-01,2.55,2.69,2.45,2.53,14220500
2019-04-02,2.52,3.53,2.5,3.46,62823500
2019-04-03,3.48,3.97,3.2,3.42,39692000
2019-04-04,3.25,4.1,3.23,3.91,37534500
2019-04-05,3.91,4.03,3.52,3.76,13744500
2019-04-08,3.75,3.84,3.35,3.55,8058000
2019-04-09,3.5,3.89,2.55,2.78,15885000
2019-04-10,2.66,2.9,1.9,2.25,25515500
2019-04-11,2.26,2.43,2.0,2.25,6952500
2019-04-12,2.47,2.69,2.17,2.55,20826000
2019-04-15,2.51,2.65,2.23,2.29,8012000
2019-04-16,2.3,2.3,1.42,1.54,16335500
2019-04-17,1.5,1.5,0.81,0.95,23348000
2019-04-18,1.02,1.58,0.81,1.1,41826500
