Date,Open,High,Low,Close,Volume
2021-01-13,6.4,6.6,6.0,6.22,17745500
2021-01-14,6.22,6.66,6.1,6.29,5874000
2021-01-15,6.25,6.85,6.25,6.49,5411500
2021-01-18,6.61,6.95,6.35,6.82,4621500
2021-01-19,6.88,7.25,6.72,6.85,10242000
2021-01-20,6.96,7.1,6.66,6.75,5109500
2021-01-21,6.83,7.08,6.5,6.56,5480500
2021-01-22,6.51,6.9,6.45,6.5,3515500
2021-01-25,6.53,6.66,6.35,6.44,1630500
2021-01-26,6.36,6.5,6.35,6.46,4129500
2021-01-27,6.49,6.49,5.51,6.18,1657500
2021-01-28,6.18,6.18,5.73,5.82,1242000
2021-01-29,5.78,5.98,5.7,5.73,1671500
2021-02-01,5.73,6.14,5.65,5.73,5916000
2021-02-02,5.8,5.93,5.35,5.68,7156500
2021-02-03,5.65,6.65,5.65,6.28,8131500
