Date,Open,High,Low,Close,Volume
2018-09-06,0.5,0.87,0.5,0.77,10137000
2018-09-07,0.78,0.83,0.62,0.65,3004000
2018-09-10,0.63,0.69,0.52,0.6,1664500
2018-09-11,0.69,0.69,0.54,0.55,1588500
2018-09-12,0.59,0.59,0.51,0.51,1302000
2018-09-13,0.46,0.5,0.45,0.47,892000
2018-09-14,0.52,0.52,0.43,0.43,404000
2018-09-17,0.49,0.5,0.35,0.37,936000
2018-09-18,0.35,0.52,0.29,0.48,2512000
2018-09-19,0.43,0.5,0.38,0.4,743000
2018-09-24,0.47,0.47,0.33,0.36,770000
2018-09-25,0.34,0.37,0.27,0.29,2025500
2018-09-26,0.27,0.29,0.2,0.21,1554500
2018-09-27,0.16,0.2,0.1,0.12,2150000
2018-09-28,0.11,0.13,0.01,0.02,6673500
