Date,Open,High,Low,Close,Volume
2026-03-19,1.01,1.01,1.01,1.01,1952
2026-03-24,2.01,2.01,2.01,2.01,1114
2026-03-25,3.01,3.01,3.01,3.01,1859
2026-03-26,4.01,4.01,4.01,4.01,2515
2026-03-27,5.01,5.01,5.01,5.01,85560
2026-03-30,6.01,6.01,6.01,6.01,107279
2026-03-31,7.01,7.01,7.01,7.01,84921
2026-04-01,8.0,8.01,8.0,8.01,125081
2026-04-02,8.95,9.01,8.65,9.01,164349
