Symbol,EPS,PE_Ratio,Dividend_Yield,ROE,Book_Value,Debt_to_Equity
CHBL,(1.40),-5.47,,,-10.773,
CHCC,7.24,37.89,,,171.429,
CJPL,,,,,-9.286,
CLCPS,,,,,-10.773,
CLOUD,(0.60),-104.75,,,,
CLOV,2.41,3.35,,,1.63,
CLVL,(0.17),-76.71,,,12.19,
CNERGY,2.68,3.09,,,37.859,
COLG,19.67,55.72,,,159.663,
COST,,,,,,
COTT,,,,,,
CPAL,0.81,23.22,,,23.931,
CPHL,1.21,61.67,,,46.73,
CPPL,0.56,134.0,,,182.421,
CRTM,0.07,1168.57,,,130.477,
CSAP,0.22,397.64,,,115.456,
CSIL,(0.26),-24.27,,,9.034,
CSILR3,,,,,,
CSM,0.17,16.53,,,,
CTM,(1.20),-5.62,,,18.821,
CWSM,(0.23),-222.52,,,9.859,
CYAN,6.02,6.96,,,37.363,
DAAG,(2.15),-26.14,,,70.053,
DADX,(4.61),-11.92,,,28.69,
DATM,(0.34),-6.91,,,,
DAWH,4.03,68.31,,,143.558,
DBCI,(0.08),-81.38,,,2.284,
DBSL,(0.20),-35.0,,,,
DCL,0.21,43.19,,,50.56,
DCM,,,,,,
DCR,0.65,55.32,,,34.22,
DCTL,(0.46),-0.17,,,,
DEL,0.60,28.42,,,16.495,
DFML,(0.73),-22.74,,,-30.838,
DFSM,(0.33),-46.82,,,98.158,
DGKC,5.71,30.62,,,258.7,
DHPL,0.96,27.66,,,,
DIIL,3.30,22.61,,,41.717,
DINT,1.16,59.05,,,151.017,
DKL,(5.76),-4.65,,,,
DKTM,(0.74),-1.27,,,5.077,
DLL,(54.90),-9.29,,,564.581,
DMC,24.09,7.76,,,,
DMIL,4.43,11.21,,,,
DMTM,(0.76),-11.26,,,17.525,
DMTX,(1.28),-27.31,,,213.09,
DNCC,,,,,12.046,
DOL,0.14,206.0,,,18.848,
DOLCPS,,,,,,
DOMF,,,,,,
DSFL,(0.19),-4.63,,,-45.509,
DSIL,(0.13),-58.08,,,2.259,
DSL,(0.12),-55.33,,,14.289,
DSML,(0.01),-5125.0,,,6.317,
DWAE,(0.57),-37.32,,,-74.846,
DWSM,(2.07),-2.98,,,-15.881,
DWTM,(0.61),-14.39,,,-62.209,
DYNO,16.46,18.83,,,277.826,
ECOP,3.16,13.91,,,34.371,
EFERT,2.17,91.13,,,32.058,
EFGH,0.78,97.08,,,13.787,
EFOODS,0.11,475.73,,,,
EFUG,5.32,23.01,,,135.304,
EFUL,3.76,38.69,,,89.369,
ELCM,(4.67),-36.4,,,71.289,
ELSM,2.40,47.84,,,393.893,
EMCO,0.96,46.78,,,95.489,
ENGL,,,,,,
ENGRO,6.84,70.96,,,265.634,
ENGROH,(0.09),-3049.44,,,,
EPCL,0.55,58.98,,,22.963,
EPCLPS,,,,,22.963,
EPCLR1,,,,,,
EPQL,0.47,49.15,,,35.313,
ESBL,(0.14),-93.79,,,3.372,
EWIC,1.72,33.69,,,19.89,
EWICR1,,,,,,
EWLA,(0.01),-2150.0,,,,
EXIDE,(6.24),-87.33,,,897.757,
EXTR,,,,,,
FABL,3.40,25.92,,,75.021,
FAEL,(59.41),-0.24,,,,
FANM,(1.11),-5.05,,,10.692,
FASM,(20.68),-17.37,,,1217.08,
FATIMA,1.99,66.68,,,76.158,
FCCL,1.41,33.98,,,36.09,
FCEL,(0.66),-8.48,,,4.425,
FCEPL,2.41,39.51,,,22.132,
FCIBL,0.31,120.55,,,13.933,
FCL,0.63,34.86,,,,
FCONM,,,,,,
FCSC,(0.04),-119.25,,,7.526,
FDIBL,0.07,41.71,,,,
FDMF,,,,,,
FDPL,0.01,427.0,,,4.646,
FECM,(0.27),-59.56,,,11.951,
FECTC,0.47,181.7,,,100.464,
FEM,,,,,12.287,
FEROZ,3.46,108.37,,,292.829,
FFBL,6.20,14.35,,,50.515,
FFC,12.14,41.94,,,182.605,
FFL,0.13,126.62,,,4.229,
